地区,报考人数
北京,42.5
江苏,24.9
湖北,16.28
河北,14.7
辽宁,11.9
四川,17.5
山东,31.3
湖南,12.3
甘肃,6.28
内蒙古,7.5
海南,2.4
云南,4.9
广东,17.4
广西,5.4
陕西,14.2
黑龙江,9.9
河南,27
吉林,8.1
重庆,7.9
上海,10
浙江,11
宁夏,1.3
江西,9.6
安徽,16.5
山西,14
天津,6.8
福建,5.8
西藏,0.4
青海,0.8
